nombre,usuario,password,email,direccion,telefono,num_tarjeta
lucas,lucas3,123,asdf,asdf,sadfa,asdf
pedro,pdro3,123,asd,asdf,asdf,asdf
pepe,pepe3,123,asd,asdf,asdf,sadf
juan,juan3,123,asd,asdf,sadf,asdf
gugu,gugu3,123,asdf,asdf,asdf,sadf
Jon,J,123,j@gmail.com,Calle Desengaño, 21,,
f,k,k,k,k,kk,k
Jon,j,123,j@gmail.com,Calle Desengaño 21,6738902,534512464575
Prueba,1,1,1,1,grt,1
Prueba,hola,1,1,1,grt,1
Prueba,hola,1,1,1,grt,1
Prueba,hola,1,1,1,123,1
Peio,Peio,123,p@,Calle Alameda Urquijo,et,456322352345
Peio,Peio,123,p@gmail.eus,Calle Alameda Urquijo,et,456322352345
Peio,Peio,123,p@gmail.eus,Calle Alameda Urquijo,23423,456322352345
P,p,123,p@gmail.com,d,f,2523423
P,p,123,p@gmail.com,d,64353486,2523423
H,h,h,h@gmail.com,h,634522332,34453675463435453
Mikel,Mikel,123,Mikel@gmail.com,Itsasoko Ama 24,634252456,43253453466456455346
Aritz,Aritz,123,Aritz@gmail.com,A,634563465,436456675455324
djhtyj,dytj,dytjtdyj,tdyjdtyj,ytdjdytj,tdyjdt,jdytj
djhtyj,dytj,dytjtdyj,tdyjdtyj@gmail.com,ytdjdytj,tdyjdt,jdytj
Gorka,Gorka,123,Gorka@gmail.com,G,g,45665434365467
Gorka,Gorka,123,Gorka@gmail.com,G,6342235,45665434365467
booker12,a,a,9012,Rachel,Booker,a
grey07,b,b,2070,Laura,Grey,b
johnson81,c,c,4081,Craig,Johnson,c
jenkins46,d,d,9346,Mary,Jenkins,d
smith79,f,f,5079,Jamie,Smith,f
booker12,a,b,9012,Rachel,Booker,c
grey07,d,e,2070,Laura,Grey,f
johnson81,g,h,4081,Craig,Johnson,i
jenkins46,j,k,9346,Mary,Jenkins,r
smith79,s,m,5079,Jamie,Smith,n
booker12,a,b,9012,Rachel,Booker,c
grey07,d,e,2070,Laura,Grey,f
johnson81,g,h,4081,Craig,Johnson,i
jenkins46,j,k,9346,Mary,Jenkins,r
smith79,s,m,5079,Jamie,Smith,n
booker12,Rachel,Booker,a,b,9012,c
grey07,Laura,Grey,d,e,2070,f
johnson81,Craig,Johnson,g,h,4081,i
jenkins46,Mary,Jenkins,j,k,9346,r
smith79,Jamie,Smith,s,m,5079,n
booker12,a,b,9012,Rachel,Booker,c
grey07,d,e,2070,Laura,Grey,f
johnson81,g,h,4081,Craig,Johnson,i
jenkins46,j,k,9346,Mary,Jenkins,r
smith79,s,m,5079,Jamie,Smith,n
booker12,a,b,9012,Rachel,Booker,c
grey07,d,e,2070,Laura,Grey,f
johnson81,g,h,4081,Craig,Johnson,i
jenkins46,j,k,9346,Mary,Jenkins,r
smith79,s,m,5079,Jamie,Smith,n
booker12,9012,Rachel,Booker,a,b,c
grey07,2070,Laura,Grey,d,e,f
johnson81,4081,Craig,Johnson,g,h,i
jenkins46,9346,Mary,Jenkins,j,k,r
smith79,5079,Jamie,Smith,s,m,n
booker12,9012,Rachel,Booker,a,b,c
grey07,2070,Laura,Grey,d,e,f
johnson81,4081,Craig,Johnson,g,h,i
jenkins46,9346,Mary,Jenkins,j,k,r
smith79,5079,Jamie,Smith,s,m,n
,,,,,,j
j,j,jj,jj,j,j,j
j,j,jj,jj@j.es,j,j,j
booker12,9012,Rachel,Booker,a,b,c
grey07,2070,Laura,Grey,d,e,f
johnson81,4081,Craig,Johnson,g,h,i
jenkins46,9346,Mary,Jenkins,j,k,r
smith79,5079,Jamie,Smith,s,m,n
